date,name,num_classified,result_url,course_url
01/12/2024,Cross d'Echirolles Régis Arnould - Open 2024,69,https://www.kikourou.net/resultats/resultat-207788-cross_d_echirolles_rn_gis_arnould_-_open-2024.html,https://www.kikourou.net/calendrier/course-207788-cross_d_echirolles_rn_gis_arnould_-_open-2024.html
30/11/2024,LyonSaintéLyon 2024,317,https://www.kikourou.net/resultats/resultat-207443-lyonsaintn_lyon-2024.html,https://www.kikourou.net/calendrier/course-207443-lyonsaintn_lyon-2024.html
30/11/2024,SaintéLyon 2024,6249,https://www.kikourou.net/resultats/resultat-204214-saintn_lyon-2024.html,https://www.kikourou.net/calendrier/course-204214-saintn_lyon-2024.html
30/11/2024,SaintéSprint - 24 km 2024,2515,https://www.kikourou.net/resultats/resultat-207879-saintn_sprint_-_24_km-2024.html,https://www.kikourou.net/calendrier/course-207879-saintn_sprint_-_24_km-2024.html
30/11/2024,Saintétic - 13 km 2024,1446,https://www.kikourou.net/resultats/resultat-207880-saintn_tic_-_13_km-2024.html,https://www.kikourou.net/calendrier/course-207880-saintn_tic_-_13_km-2024.html
30/11/2024,SaintExpress - 45 km 2024,3494,https://www.kikourou.net/resultats/resultat-207878-saintexpress_-_45_km-2024.html,https://www.kikourou.net/calendrier/course-207878-saintexpress_-_45_km-2024.html
24/11/2024,Nevers Marathon 2024,494,https://www.kikourou.net/resultats/resultat-203217-nevers_marathon-2024.html,https://www.kikourou.net/calendrier/course-203217-nevers_marathon-2024.html
17/11/2024,"La Foulée Vénissiane - 21,1 km 2024",499,https://www.kikourou.net/resultats/resultat-208436-la_fouln_e_vn_nissiane_-_21_1_km-2024.html,https://www.kikourou.net/calendrier/course-208436-la_fouln_e_vn_nissiane_-_21_1_km-2024.html
17/11/2024,Trail des Caboués - 10 km 2024,116,https://www.kikourou.net/resultats/resultat-211586-trail_des_caboun_s_-_10_km-2024.html,https://www.kikourou.net/calendrier/course-211586-trail_des_caboun_s_-_10_km-2024.html
17/11/2024,Trail des Caboués - 23 km 2024,103,https://www.kikourou.net/resultats/resultat-211585-trail_des_caboun_s_-_23_km-2024.html,https://www.kikourou.net/calendrier/course-211585-trail_des_caboun_s_-_23_km-2024.html
16/11/2024,Ganatrail des Lumières - 15 km 2024,346,https://www.kikourou.net/resultats/resultat-208877-ganatrail_des_lumin_res_-_15_km-2024.html,https://www.kikourou.net/calendrier/course-208877-ganatrail_des_lumin_res_-_15_km-2024.html
16/11/2024,Ganatrail des Lumières - 8 km 2024,331,https://www.kikourou.net/resultats/resultat-208878-ganatrail_des_lumin_res_-_8_km-2024.html,https://www.kikourou.net/calendrier/course-208878-ganatrail_des_lumin_res_-_8_km-2024.html
10/11/2024,10 km de la Wantzenau - Nature 2024,429,https://www.kikourou.net/resultats/resultat-204528-10_km_de_la_wantzenau_-_nature-2024.html,https://www.kikourou.net/calendrier/course-204528-10_km_de_la_wantzenau_-_nature-2024.html
10/11/2024,10 km de la Wantzenau - Route 2024,846,https://www.kikourou.net/resultats/resultat-204529-10_km_de_la_wantzenau_-_route-2024.html,https://www.kikourou.net/calendrier/course-204529-10_km_de_la_wantzenau_-_route-2024.html
10/11/2024,Marseille Outdoor Experiences - 21 km 2024,824,https://www.kikourou.net/resultats/resultat-212663-marseille_outdoor_experiences_-_21_km-2024.html,https://www.kikourou.net/calendrier/course-212663-marseille_outdoor_experiences_-_21_km-2024.html
10/11/2024,Parcourir Montigny - 10 km 2024,734,https://www.kikourou.net/resultats/resultat-201097-parcourir_montigny_-_10_km-2024.html,https://www.kikourou.net/calendrier/course-201097-parcourir_montigny_-_10_km-2024.html
10/11/2024,Trail de Montagnole - 22 km 2024,239,https://www.kikourou.net/resultats/resultat-208217-trail_de_montagnole_-_22_km-2024.html,https://www.kikourou.net/calendrier/course-208217-trail_de_montagnole_-_22_km-2024.html
09/11/2024,Trail Nocturne de Villerest - 14 km 2024,188,https://www.kikourou.net/resultats/resultat-208628-trail_nocturne_de_villerest_-_14_km-2024.html,https://www.kikourou.net/calendrier/course-208628-trail_nocturne_de_villerest_-_14_km-2024.html
03/11/2024,Sainté Trail Urbain - 35 km VERTigineuse 2024,203,https://www.kikourou.net/resultats/resultat-208623-saintn_trail_urbain_-_35_km_vertigineuse-2024.html,https://www.kikourou.net/calendrier/course-208623-saintn_trail_urbain_-_35_km_vertigineuse-2024.html
02/11/2024,Lyon Urban Trail LUT by Night - 20 km 2024,2154,https://www.kikourou.net/resultats/resultat-212144-lyon_urban_trail_lut_by_night_-_20_km-2024.html,https://www.kikourou.net/calendrier/course-212144-lyon_urban_trail_lut_by_night_-_20_km-2024.html
02/11/2024,Lyon Urban Trail LUT by Night - 30 km 2024,1305,https://www.kikourou.net/resultats/resultat-212146-lyon_urban_trail_lut_by_night_-_30_km-2024.html,https://www.kikourou.net/calendrier/course-212146-lyon_urban_trail_lut_by_night_-_30_km-2024.html
27/10/2024,La Grande Course du Grand Paris - 21.1 km 2024,4873,https://www.kikourou.net/resultats/resultat-206309-la_grande_course_du_grand_paris_-_21.1_km-2024.html,https://www.kikourou.net/calendrier/course-206309-la_grande_course_du_grand_paris_-_21.1_km-2024.html
27/10/2024,Marathon Vert de Rennes 2024,2430,https://www.kikourou.net/resultats/resultat-206706-marathon_vert_de_rennes-2024.html,https://www.kikourou.net/calendrier/course-206706-marathon_vert_de_rennes-2024.html
26/10/2024,La Froussarde - 10 km 2024,354,https://www.kikourou.net/resultats/resultat-197923-la_froussarde_-_10_km-2024.html,https://www.kikourou.net/calendrier/course-197923-la_froussarde_-_10_km-2024.html
26/10/2024,La Froussarde - 5 km 2024,359,https://www.kikourou.net/resultats/resultat-213067-la_froussarde_-_5_km-2024.html,https://www.kikourou.net/calendrier/course-213067-la_froussarde_-_5_km-2024.html
20/10/2024,Aix en Foulées - 10 km 2024,1577,https://www.kikourou.net/resultats/resultat-209503-aix_en_fouln_es_-_10_km-2024.html,https://www.kikourou.net/calendrier/course-209503-aix_en_fouln_es_-_10_km-2024.html
20/10/2024,La Val'Lyonnaise - 20 km 2024,276,https://www.kikourou.net/resultats/resultat-208428-la_val_lyonnaise_-_20_km-2024.html,https://www.kikourou.net/calendrier/course-208428-la_val_lyonnaise_-_20_km-2024.html
20/10/2024,La Val'Lyonnaise - 28 km 2024,207,https://www.kikourou.net/resultats/resultat-208429-la_val_lyonnaise_-_28_km-2024.html,https://www.kikourou.net/calendrier/course-208429-la_val_lyonnaise_-_28_km-2024.html
20/10/2024,Marathon de l'Ardèche - 21.1 km 2024,329,https://www.kikourou.net/resultats/resultat-210367-marathon_de_l_ardn_che_-_21.1_km-2024.html,https://www.kikourou.net/calendrier/course-210367-marathon_de_l_ardn_che_-_21.1_km-2024.html
20/10/2024,Trail des Grisemottes - 12 km 2024,259,https://www.kikourou.net/resultats/resultat-206546-trail_des_grisemottes_-_12_km-2024.html,https://www.kikourou.net/calendrier/course-206546-trail_des_grisemottes_-_12_km-2024.html
19/10/2024,Trail de la Cotière - 14 km 2024,99,https://www.kikourou.net/resultats/resultat-197760-trail_de_la_cotin_re_-_14_km-2024.html,https://www.kikourou.net/calendrier/course-197760-trail_de_la_cotin_re_-_14_km-2024.html
19/10/2024,Trail de la Cotière - 21 km 2024,95,https://www.kikourou.net/resultats/resultat-200778-trail_de_la_cotin_re_-_21_km-2024.html,https://www.kikourou.net/calendrier/course-200778-trail_de_la_cotin_re_-_21_km-2024.html
19/10/2024,Trail de la Cotière - 9 km 2024,97,https://www.kikourou.net/resultats/resultat-200779-trail_de_la_cotin_re_-_9_km-2024.html,https://www.kikourou.net/calendrier/course-200779-trail_de_la_cotin_re_-_9_km-2024.html
13/10/2024,La Cley du Coeur 22 km 2024,94,https://www.kikourou.net/resultats/resultat-197758-la_cley_du_coeur_22_km-2024.html,https://www.kikourou.net/calendrier/course-197758-la_cley_du_coeur_22_km-2024.html
13/10/2024,La Cley du Coeur 7 km 2024,94,https://www.kikourou.net/resultats/resultat-200774-la_cley_du_coeur_7_km-2024.html,https://www.kikourou.net/calendrier/course-200774-la_cley_du_coeur_7_km-2024.html
13/10/2024,Les Foulées de Brumath - 5 km hommes 2024,213,https://www.kikourou.net/resultats/resultat-198946-les_fouln_es_de_brumath_-_5_km_hommes-2024.html,https://www.kikourou.net/calendrier/course-198946-les_fouln_es_de_brumath_-_5_km_hommes-2024.html
13/10/2024,Les Foulées Halluinoises - 10 km 2024,430,https://www.kikourou.net/resultats/resultat-210099-les_fouln_es_halluinoises_-_10_km-2024.html,https://www.kikourou.net/calendrier/course-210099-les_fouln_es_halluinoises_-_10_km-2024.html
13/10/2024,Sardines Titus Triathlon - M 2024,571,https://www.kikourou.net/resultats/resultat-208643-sardines_titus_triathlon_-_m-2024.html,https://www.kikourou.net/calendrier/course-208643-sardines_titus_triathlon_-_m-2024.html
13/10/2024,Semi-Marathon de Marchiennes 2024,1443,https://www.kikourou.net/resultats/resultat-209899-semi-marathon_de_marchiennes-2024.html,https://www.kikourou.net/calendrier/course-209899-semi-marathon_de_marchiennes-2024.html
13/10/2024,Trail de l'Aqueduc - 11 km 2024,529,https://www.kikourou.net/resultats/resultat-208284-trail_de_l_aqueduc_-_11_km-2024.html,https://www.kikourou.net/calendrier/course-208284-trail_de_l_aqueduc_-_11_km-2024.html
13/10/2024,Trail de l'Aqueduc - 22 km 2024,426,https://www.kikourou.net/resultats/resultat-208283-trail_de_l_aqueduc_-_22_km-2024.html,https://www.kikourou.net/calendrier/course-208283-trail_de_l_aqueduc_-_22_km-2024.html
13/10/2024,Trail de l'Aqueduc - 42 km 2024,132,https://www.kikourou.net/resultats/resultat-208165-trail_de_l_aqueduc_-_42_km-2024.html,https://www.kikourou.net/calendrier/course-208165-trail_de_l_aqueduc_-_42_km-2024.html
12/10/2024,Grands Trails d'Auvergne - 49 km 2024,763,https://www.kikourou.net/resultats/resultat-209788-grands_trails_d_auvergne_-_49_km-2024.html,https://www.kikourou.net/calendrier/course-209788-grands_trails_d_auvergne_-_49_km-2024.html
06/10/2024,Les Foulées Veauchoises - 11 km 2024,147,https://www.kikourou.net/resultats/resultat-208335-les_fouln_es_veauchoises_-_11_km-2024.html,https://www.kikourou.net/calendrier/course-208335-les_fouln_es_veauchoises_-_11_km-2024.html
06/10/2024,Les Foulées Veauchoises - 21.5 km 2024,62,https://www.kikourou.net/resultats/resultat-209310-les_fouln_es_veauchoises_-_21.5_km-2024.html,https://www.kikourou.net/calendrier/course-209310-les_fouln_es_veauchoises_-_21.5_km-2024.html
06/10/2024,Trail de la Passerelle - 29 km 2024,252,https://www.kikourou.net/resultats/resultat-209725-trail_de_la_passerelle_-_29_km-2024.html,https://www.kikourou.net/calendrier/course-209725-trail_de_la_passerelle_-_29_km-2024.html
06/10/2024,Trail des Glières - 41 km 2024,200,https://www.kikourou.net/resultats/resultat-208829-trail_des_glin_res_-_41_km-2024.html,https://www.kikourou.net/calendrier/course-208829-trail_des_glin_res_-_41_km-2024.html
05/10/2024,Ultra Pirineu 2024,800,https://www.kikourou.net/resultats/resultat-209481-ultra_pirineu-2024.html,https://www.kikourou.net/calendrier/course-209481-ultra_pirineu-2024.html
05/10/2024,Ultra Trail des Montagnes du Jura - 105 km 2024,752,https://www.kikourou.net/resultats/resultat-201814-ultra_trail_des_montagnes_du_jura_-_105_km-2024.html,https://www.kikourou.net/calendrier/course-201814-ultra_trail_des_montagnes_du_jura_-_105_km-2024.html
04/10/2024,Ultra Trail des Montagnes du Jura - 175 km 2024,201,https://www.kikourou.net/resultats/resultat-201815-ultra_trail_des_montagnes_du_jura_-_175_km-2024.html,https://www.kikourou.net/calendrier/course-201815-ultra_trail_des_montagnes_du_jura_-_175_km-2024.html
29/09/2024,Hostun Trail - Trail du Pré de Cinq Sous - 30 km 2024,118,https://www.kikourou.net/resultats/resultat-205675-hostun_trail_-_trail_du_prn_de_cinq_sous_-_30_km-2024.html,https://www.kikourou.net/calendrier/course-205675-hostun_trail_-_trail_du_prn_de_cinq_sous_-_30_km-2024.html
29/09/2024,L'Hippo'Run de Balaruc - 11.4 km 2024,142,https://www.kikourou.net/resultats/resultat-209306-l_hippo_run_de_balaruc_-_11.4_km-2024.html,https://www.kikourou.net/calendrier/course-209306-l_hippo_run_de_balaruc_-_11.4_km-2024.html
29/09/2024,La Course des Terrils - 9 km 2024,630,https://www.kikourou.net/resultats/resultat-208936-la_course_des_terrils_-_9_km-2024.html,https://www.kikourou.net/calendrier/course-208936-la_course_des_terrils_-_9_km-2024.html
29/09/2024,La Grésylienne - 10 km 2024,230,https://www.kikourou.net/resultats/resultat-206611-la_grn_sylienne_-_10_km-2024.html,https://www.kikourou.net/calendrier/course-206611-la_grn_sylienne_-_10_km-2024.html
29/09/2024,La Grésylienne - 18 km 2024,246,https://www.kikourou.net/resultats/resultat-206610-la_grn_sylienne_-_18_km-2024.html,https://www.kikourou.net/calendrier/course-206610-la_grn_sylienne_-_18_km-2024.html
29/09/2024,La Grésylienne - 32 km 2024,140,https://www.kikourou.net/resultats/resultat-206609-la_grn_sylienne_-_32_km-2024.html,https://www.kikourou.net/calendrier/course-206609-la_grn_sylienne_-_32_km-2024.html
29/09/2024,Semi-Marathon des Vignobles 2024,416,https://www.kikourou.net/resultats/resultat-208567-semi-marathon_des_vignobles-2024.html,https://www.kikourou.net/calendrier/course-208567-semi-marathon_des_vignobles-2024.html
29/09/2024,Trail des 3 Villages 2024,277,https://www.kikourou.net/resultats/resultat-203208-trail_des_3_villages-2024.html,https://www.kikourou.net/calendrier/course-203208-trail_des_3_villages-2024.html
29/09/2024,Trail des Aiguilles Rouges 2024,566,https://www.kikourou.net/resultats/resultat-208341-trail_des_aiguilles_rouges-2024.html,https://www.kikourou.net/calendrier/course-208341-trail_des_aiguilles_rouges-2024.html
28/09/2024,Trail nocturne des Lambele - 15 km 2024,204,https://www.kikourou.net/resultats/resultat-197914-trail_nocturne_des_lambele_-_15_km-2024.html,https://www.kikourou.net/calendrier/course-197914-trail_nocturne_des_lambele_-_15_km-2024.html
22/09/2024,La Course des Remparts de Crémieu - 12 km 2024,108,https://www.kikourou.net/resultats/resultat-207732-la_course_des_remparts_de_crn_mieu_-_12_km-2024.html,https://www.kikourou.net/calendrier/course-207732-la_course_des_remparts_de_crn_mieu_-_12_km-2024.html
22/09/2024,La Course des Remparts de Crémieu - 6 km 2024,74,https://www.kikourou.net/resultats/resultat-207731-la_course_des_remparts_de_crn_mieu_-_6_km-2024.html,https://www.kikourou.net/calendrier/course-207731-la_course_des_remparts_de_crn_mieu_-_6_km-2024.html
22/09/2024,Les Chemins du Mélantois - 10 km 2024,333,https://www.kikourou.net/resultats/resultat-208923-les_chemins_du_mn_lantois_-_10_km-2024.html,https://www.kikourou.net/calendrier/course-208923-les_chemins_du_mn_lantois_-_10_km-2024.html
22/09/2024,Les Foulées Lambersartoises - 10 km 2024,774,https://www.kikourou.net/resultats/resultat-208940-les_fouln_es_lambersartoises_-_10_km-2024.html,https://www.kikourou.net/calendrier/course-208940-les_fouln_es_lambersartoises_-_10_km-2024.html
22/09/2024,Marathon de Colmar 2024,716,https://www.kikourou.net/resultats/resultat-198322-marathon_de_colmar-2024.html,https://www.kikourou.net/calendrier/course-198322-marathon_de_colmar-2024.html
21/09/2024,Trail du Sancy - 35.5 km 2024,954,https://www.kikourou.net/resultats/resultat-208122-trail_du_sancy_-_35.5_km-2024.html,https://www.kikourou.net/calendrier/course-208122-trail_du_sancy_-_35.5_km-2024.html
20/09/2024,La Verticale de Rochefort 2024,149,https://www.kikourou.net/resultats/resultat-213461-la_verticale_de_rochefort-2024.html,https://www.kikourou.net/calendrier/course-213461-la_verticale_de_rochefort-2024.html
15/09/2024,Trail de La Bonette - 10 km 2024,87,https://www.kikourou.net/resultats/resultat-208388-trail_de_la_bonette_-_10_km-2024.html,https://www.kikourou.net/calendrier/course-208388-trail_de_la_bonette_-_10_km-2024.html
15/09/2024,Trail du Néron - 17.5 km 2024,157,https://www.kikourou.net/resultats/resultat-205670-trail_du_nn_ron_-_17.5_km-2024.html,https://www.kikourou.net/calendrier/course-205670-trail_du_nn_ron_-_17.5_km-2024.html
08/09/2024,Trail du Fleckenstein - 19km 2024,241,https://www.kikourou.net/resultats/resultat-210092-trail_du_fleckenstein_-_19km-2024.html,https://www.kikourou.net/calendrier/course-210092-trail_du_fleckenstein_-_19km-2024.html
08/09/2024,"Trail du Fleckenstein - 8,5 km 2024",150,https://www.kikourou.net/resultats/resultat-210091-trail_du_fleckenstein_-_8_5_km-2024.html,https://www.kikourou.net/calendrier/course-210091-trail_du_fleckenstein_-_8_5_km-2024.html
07/09/2024,Ultra-Trail Harricana - 42 km 2024,309,https://www.kikourou.net/resultats/resultat-208062-ultra-trail_harricana_-_42_km-2024.html,https://www.kikourou.net/calendrier/course-208062-ultra-trail_harricana_-_42_km-2024.html
06/09/2024,TOR450 Tor des Glaciers 2024,68,https://www.kikourou.net/resultats/resultat-200856-tor450_tor_des_glaciers-2024.html,https://www.kikourou.net/calendrier/course-200856-tor450_tor_des_glaciers-2024.html
01/09/2024,Cross des Chioures - 8 km 2024,23,https://www.kikourou.net/resultats/resultat-207723-cross_des_chioures_-_8_km-2024.html,https://www.kikourou.net/calendrier/course-207723-cross_des_chioures_-_8_km-2024.html
25/08/2024,Le Tour du Lac de Paladru 2024,827,https://www.kikourou.net/resultats/resultat-205319-le_tour_du_lac_de_paladru-2024.html,https://www.kikourou.net/calendrier/course-205319-le_tour_du_lac_de_paladru-2024.html
24/08/2024,L'Echappée Belle - Traversée Nord - 92 km 2024,287,https://www.kikourou.net/resultats/resultat-201400-l_echappn_e_belle_-_traversn_e_nord_-_92_km-2024.html,https://www.kikourou.net/calendrier/course-201400-l_echappn_e_belle_-_traversn_e_nord_-_92_km-2024.html
23/08/2024,L'Echappée Belle - Intégrale - 152 km 2024,271,https://www.kikourou.net/resultats/resultat-201399-l_echappn_e_belle_-_intn_grale_-_152_km-2024.html,https://www.kikourou.net/calendrier/course-201399-l_echappn_e_belle_-_intn_grale_-_152_km-2024.html
18/08/2024,Trail du Galibier - 52 km 2024,168,https://www.kikourou.net/resultats/resultat-207646-trail_du_galibier_-_52_km-2024.html,https://www.kikourou.net/calendrier/course-207646-trail_du_galibier_-_52_km-2024.html
28/07/2024,Crossing Riviera 2024,445,https://www.kikourou.net/resultats/resultat-208744-crossing_riviera-2024.html,https://www.kikourou.net/calendrier/course-208744-crossing_riviera-2024.html
27/07/2024,La 6000 D - 69 km 2024,1052,https://www.kikourou.net/resultats/resultat-207046-la_6000_d_-_69_km-2024.html,https://www.kikourou.net/calendrier/course-207046-la_6000_d_-_69_km-2024.html
21/07/2024,Les Montées du Revard - 14.5 km 2024,53,https://www.kikourou.net/resultats/resultat-207039-les_montn_es_du_revard_-_14.5_km-2024.html,https://www.kikourou.net/calendrier/course-207039-les_montn_es_du_revard_-_14.5_km-2024.html
21/07/2024,Les Montées du Revard - 21 km 2024,94,https://www.kikourou.net/resultats/resultat-207038-les_montn_es_du_revard_-_21_km-2024.html,https://www.kikourou.net/calendrier/course-207038-les_montn_es_du_revard_-_21_km-2024.html
20/07/2024,Crossingswitzerland - 390 km 2024,163,https://www.kikourou.net/resultats/resultat-186914-crossingswitzerland_-_390_km-2024.html,https://www.kikourou.net/calendrier/course-186914-crossingswitzerland_-_390_km-2024.html
20/07/2024,Ultra Tour du Beaufortain 2024,269,https://www.kikourou.net/resultats/resultat-200885-ultra_tour_du_beaufortain-2024.html,https://www.kikourou.net/calendrier/course-200885-ultra_tour_du_beaufortain-2024.html
18/07/2024,Ultra Tour des 4 Massifs - 40 Vercors 2024,226,https://www.kikourou.net/resultats/resultat-201147-ultra_tour_des_4_massifs_-_40_vercors-2024.html,https://www.kikourou.net/calendrier/course-201147-ultra_tour_des_4_massifs_-_40_vercors-2024.html
14/07/2024,Mad'Trail - 63 km 2024,122,https://www.kikourou.net/resultats/resultat-207026-mad_trail_-_63_km-2024.html,https://www.kikourou.net/calendrier/course-207026-mad_trail_-_63_km-2024.html
14/07/2024,Trail des Caves de Panzoult - 15 km 2024,222,https://www.kikourou.net/resultats/resultat-207159-trail_des_caves_de_panzoult_-_15_km-2024.html,https://www.kikourou.net/calendrier/course-207159-trail_des_caves_de_panzoult_-_15_km-2024.html
14/07/2024,Triathlon du Lac du Bouchet - L 2024,121,https://www.kikourou.net/resultats/resultat-197446-triathlon_du_lac_du_bouchet_-_l-2024.html,https://www.kikourou.net/calendrier/course-197446-triathlon_du_lac_du_bouchet_-_l-2024.html
13/07/2024,Trail du Tour des Fiz - 15 km 2024,442,https://www.kikourou.net/resultats/resultat-207008-trail_du_tour_des_fiz_-_15_km-2024.html,https://www.kikourou.net/calendrier/course-207008-trail_du_tour_des_fiz_-_15_km-2024.html
13/07/2024,Trail du Tour des Fiz - 34 km 2024,715,https://www.kikourou.net/resultats/resultat-207006-trail_du_tour_des_fiz_-_34_km-2024.html,https://www.kikourou.net/calendrier/course-207006-trail_du_tour_des_fiz_-_34_km-2024.html
13/07/2024,Ultra Boucle des Ballons 2024,18,https://www.kikourou.net/resultats/resultat-202228-ultra_boucle_des_ballons-2024.html,https://www.kikourou.net/calendrier/course-202228-ultra_boucle_des_ballons-2024.html
12/07/2024,GranTrail Courmayeur - 100 km 2024,316,https://www.kikourou.net/resultats/resultat-197356-grantrail_courmayeur_-_100_km-2024.html,https://www.kikourou.net/calendrier/course-197356-grantrail_courmayeur_-_100_km-2024.html
07/07/2024,La Bambée des Saisies - 14 km 2024,228,https://www.kikourou.net/resultats/resultat-207025-la_bambn_e_des_saisies_-_14_km-2024.html,https://www.kikourou.net/calendrier/course-207025-la_bambn_e_des_saisies_-_14_km-2024.html
05/07/2024,La Course du Soleil - 5 km 2024,260,https://www.kikourou.net/resultats/resultat-206964-la_course_du_soleil_-_5_km-2024.html,https://www.kikourou.net/calendrier/course-206964-la_course_du_soleil_-_5_km-2024.html
05/07/2024,Val d'Aran by UTMB - CDH 2024,482,https://www.kikourou.net/resultats/resultat-195774-val_d_aran_by_utmb_-_cdh-2024.html,https://www.kikourou.net/calendrier/course-195774-val_d_aran_by_utmb_-_cdh-2024.html
30/06/2024,Trail des Bauges - 21 km 2024,251,https://www.kikourou.net/resultats/resultat-201682-trail_des_bauges_-_21_km-2024.html,https://www.kikourou.net/calendrier/course-201682-trail_des_bauges_-_21_km-2024.html
29/06/2024,Trail de la Vallée des Lacs - 24 km 2024,693,https://www.kikourou.net/resultats/resultat-199186-trail_de_la_valln_e_des_lacs_-_24_km-2024.html,https://www.kikourou.net/calendrier/course-199186-trail_de_la_valln_e_des_lacs_-_24_km-2024.html
29/06/2024,Trail de la Vallée des Lacs - 43 km 2024,634,https://www.kikourou.net/resultats/resultat-199187-trail_de_la_valln_e_des_lacs_-_43_km-2024.html,https://www.kikourou.net/calendrier/course-199187-trail_de_la_valln_e_des_lacs_-_43_km-2024.html
29/06/2024,Trail de la Vallée des Lacs - 82 km 2024,210,https://www.kikourou.net/resultats/resultat-199188-trail_de_la_valln_e_des_lacs_-_82_km-2024.html,https://www.kikourou.net/calendrier/course-199188-trail_de_la_valln_e_des_lacs_-_82_km-2024.html
